gia_ban,dien_tich,loai_hinh,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,chieu_dai,e_Quận Gò Vấp,e_Quận Phú Nhuận
2.35,15.0,0,5,2.0,2.0,3.0,4,2,3.0,6.0,0.0,0.0
3.8,19.0,3,5,1.0,2.0,2.0,1,2,3.3,6.0,0.0,0.0
7.88,50.0,0,5,4.0,4.0,4.0,4,7,4.0,12.0,0.0,0.0
7.59,67.0,0,5,4.0,3.0,2.0,4,6,5.2,13.0,0.0,0.0
19.5,80.0,0,5,4.0,3.0,4.0,3,7,4.0,20.0,0.0,0.0
7.65,40.0,0,5,3.0,4.0,5.0,3,7,5.0,8.0,0.0,0.0
7.4,45.0,0,5,3.0,4.0,4.0,3,2,5.0,9.0,0.0,0.0
16.0,125.0,2,5,5.0,5.0,4.0,1,7,6.0,21.0,0.0,0.0
7.9,52.0,0,5,2.0,2.0,2.0,2,7,3.6,14.5,0.0,0.0
15.999,64.0,0,1,4.0,3.0,3.0,1,7,4.0,16.0,0.0,0.0
7.5,47.0,0,1,7.0,3.0,3.0,1,2,3.8,12.0,0.0,0.0
4.59,25.0,0,5,2.0,3.0,3.0,1,6,3.0,8.0,0.0,0.0
7.2,54.0,0,5,3.0,2.0,2.0,2,7,7.0,7.7,0.0,0.0
22.5,90.0,2,5,10.0,6.0,8.0,4,7,4.5,20.0,0.0,0.0
7.6,41.0,0,1,2.0,3.0,3.0,1,7,3.7,11.0,0.0,0.0
11.9,81.0,0,5,3.0,3.0,2.0,1,1,4.06,18.0,0.0,0.0
5.35,38.8,0,5,2.0,2.0,2.0,3,2,3.3,12.0,0.0,0.0
6.0,56.0,0,5,2.0,2.0,1.0,3,2,4.2,13.5,0.0,0.0
11.98,79.0,2,5,7.0,6.0,5.0,3,7,7.7,12.0,0.0,0.0
7.8,46.0,0,5,3.0,3.0,3.0,1,2,3.8,12.0,0.0,0.0
2.34,12.5,0,5,2.0,2.0,2.0,3,2,4.0,12.0,0.0,0.0
3.94,22.8,0,5,2.0,2.0,4.0,3,2,4.0,12.0,0.0,0.0
12.0,110.0,0,5,4.0,3.0,2.0,1,7,5.6,21.0,0.0,0.0
6.48,60.0,0,5,3.0,2.0,2.0,1,2,3.5,17.0,0.0,0.0
5.2,35.0,0,5,5.0,4.0,4.0,1,6,2.1,12.0,0.0,0.0
9.99,115.0,0,5,10.0,6.0,1.0,2,2,11.5,10.0,0.0,0.0
5.0,40.0,0,5,2.0,3.0,2.0,3,7,3.0,13.0,0.0,0.0
1.9,16.2,0,5,2.0,3.0,3.0,4,7,2.7,6.0,0.0,0.0
7.6,43.0,0,5,3.0,3.0,3.0,1,7,3.0,14.5,0.0,0.0
4.95,25.0,0,1,2.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
33.9,88.0,3,5,6.0,6.0,4.0,4,6,4.4,20.0,0.0,0.0
13.4,73.6,0,5,8.0,6.0,6.0,3,7,4.6,16.0,0.0,0.0
7.99,64.0,0,5,5.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
4.75,54.0,0,5,3.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
5.45,36.0,0,5,3.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
8.95,82.0,0,5,4.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
5.95,40.0,0,5,3.0,3.0,2.0,1,7,4.0,12.0,0.0,0.0
9.995,69.0,0,5,4.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
10.19,50.0,0,5,2.0,3.0,2.0,3,7,4.0,12.0,0.0,0.0
29.9,300.0,4,5,6.0,3.0,3.0,3,7,20.0,15.0,0.0,0.0
10.5,105.0,0,5,7.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
8.999,74.0,0,5,4.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
9.9,70.0,0,5,10.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
7.8,75.0,0,5,4.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
7.9,52.0,0,5,4.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
3.99,20.0,0,5,2.0,2.0,2.0,4,7,3.8,6.0,0.0,0.0
4.35,20.0,0,5,3.0,4.0,3.0,4,7,5.0,4.0,0.0,0.0
5.35,40.0,0,5,2.0,2.0,2.0,4,7,3.3,12.0,0.0,0.0
6.99,57.0,0,5,7.0,3.0,3.0,3,7,3.8,15.0,0.0,0.0
5.39,40.0,0,5,3.0,3.0,3.0,4,6,4.0,10.0,0.0,0.0
3.98,19.0,0,5,2.0,3.0,3.0,4,7,3.8,5.0,0.0,0.0
5.98,28.0,0,1,3.0,3.0,3.0,1,2,4.8,6.0,0.0,0.0
22.5,56.0,3,5,5.0,4.0,5.0,3,2,4.1,14.0,0.0,0.0
30.0,80.0,3,5,5.0,4.0,4.0,2,7,4.0,20.0,0.0,0.0
10.8,88.0,0,5,9.0,6.0,3.0,3,7,8.0,11.0,0.0,0.0
7.0,63.0,0,5,4.0,4.0,4.0,2,7,4.2,15.0,0.0,0.0
7.8,46.0,0,5,3.0,3.0,3.0,3,7,4.0,11.5,0.0,0.0
9.4,75.0,3,5,4.0,4.0,3.0,4,7,4.0,12.0,0.0,0.0
32.6,155.0,3,5,1.0,3.0,3.0,1,2,4.8,25.5,0.0,0.0
5.1,57.0,0,5,3.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
4.95,58.0,0,5,1.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
5.5,32.4,0,5,2.0,3.0,3.0,1,6,4.0,12.0,0.0,0.0
5.68,30.0,0,5,4.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
5.58,60.0,0,5,2.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
8.8,85.0,0,5,3.0,3.0,2.0,1,7,4.0,12.0,0.0,0.0
7.5,54.0,0,5,7.0,6.0,2.0,2,4,4.0,14.0,0.0,0.0
4.86,37.0,0,5,2.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
6.35,72.0,0,5,5.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
4.45,37.0,0,5,2.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
5.45,60.0,0,5,2.0,2.0,3.0,1,2,4.0,15.0,0.0,0.0
4.7,52.6,0,5,2.0,2.0,3.0,1,2,4.0,12.0,0.0,0.0
5.2,43.0,0,5,2.0,2.0,3.0,1,2,3.5,12.5,0.0,0.0
5.45,34.5,0,5,2.0,2.0,3.0,1,7,3.0,11.5,0.0,0.0
8.5,88.5,0,5,4.0,3.0,2.0,1,2,6.0,15.0,0.0,0.0
5.68,30.0,0,5,3.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
7.98,40.0,0,5,3.0,3.0,3.0,1,2,5.0,12.0,0.0,0.0
7.4,161.0,0,5,10.0,6.0,2.0,3,7,4.0,12.0,0.0,0.0
9.8,53.0,0,5,4.0,5.0,3.0,1,7,4.0,14.0,0.0,0.0
3.89,15.0,0,5,2.0,3.0,4.0,3,7,5.0,3.0,0.0,0.0
5.75,60.0,0,5,2.0,2.0,3.0,2,2,3.5,17.0,0.0,0.0
9.49,68.1,0,5,5.0,6.0,3.0,1,2,4.01,16.8,0.0,0.0
7.85,76.0,0,5,2.0,2.0,1.0,2,2,6.3,12.0,0.0,0.0
7.19,56.0,0,5,2.0,2.0,2.0,2,7,7.0,8.0,0.0,0.0
5.68,27.5,0,5,4.0,3.0,3.0,4,7,3.0,9.0,0.0,0.0
3.85,40.0,0,5,2.0,2.0,2.0,3,2,5.0,8.0,0.0,0.0
18.0,90.0,0,5,7.0,5.0,3.0,1,7,4.5,20.0,0.0,0.0
6.4,38.1,0,5,2.0,2.0,2.0,4,7,7.2,5.6,0.0,0.0
10.5,73.0,0,5,9.0,6.0,3.0,4,6,4.0,17.0,0.0,0.0
6.0,30.0,0,5,3.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
10.75,64.0,0,5,7.0,4.0,3.0,1,7,4.3,15.0,0.0,0.0
11.65,64.0,3,5,5.0,5.0,3.0,1,2,4.2,15.0,0.0,0.0
13.0,120.0,0,5,5.0,3.0,2.0,0,6,4.0,12.0,0.0,0.0
6.85,60.0,0,5,5.0,5.0,4.0,4,7,4.0,15.0,0.0,0.0
3.2,25.0,0,1,1.0,1.0,3.0,1,7,3.8,7.0,0.0,0.0
7.9,60.0,0,5,4.0,4.0,4.0,1,2,4.6,13.0,0.0,0.0
8.0,82.0,0,5,3.0,3.0,2.0,2,2,4.6,18.0,0.0,0.0
8.5,96.0,0,5,4.0,3.0,3.0,1,2,6.0,16.0,0.0,0.0
6.05,28.0,0,5,3.0,4.0,4.0,3,2,3.6,8.0,0.0,0.0
8.5,60.0,0,5,5.0,6.0,3.0,3,0,5.0,12.0,0.0,0.0
8.9,83.0,0,5,5.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
5.35,38.8,0,1,2.0,2.0,3.0,1,2,3.3,12.0,0.0,0.0
10.1,70.0,0,5,4.0,3.0,2.0,3,7,5.8,14.0,0.0,0.0
4.85,25.0,0,5,2.0,2.0,2.0,4,7,4.0,12.0,0.0,0.0
8.8,90.0,0,5,4.0,3.0,3.0,1,2,5.6,16.0,0.0,0.0
6.5,45.7,0,1,2.0,2.0,3.0,1,6,4.0,12.0,0.0,0.0
45.0,155.0,4,5,4.0,5.0,5.0,1,2,10.0,16.0,0.0,0.0
8.3,55.0,0,5,4.0,3.0,3.0,2,2,8.0,7.0,0.0,0.0
8.9,80.0,0,5,4.0,3.0,3.0,1,2,4.0,20.0,0.0,0.0
6.6,39.0,2,5,3.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
5.0,105.0,0,1,3.0,3.0,3.0,1,7,4.1,25.5,0.0,0.0
12.9,66.0,3,5,5.0,6.0,5.0,3,7,5.2,12.0,0.0,0.0
7.99,60.0,0,1,4.0,3.0,3.0,1,7,4.6,13.0,0.0,0.0
7.2,54.0,0,5,3.0,1.0,2.0,2,7,7.0,8.0,0.0,0.0
7.5,72.0,0,5,3.0,2.0,2.0,3,2,5.1,14.0,0.0,0.0
8.0,60.0,0,5,4.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
7.69,54.0,0,5,3.0,3.0,4.0,2,6,6.0,9.0,0.0,0.0
6.89,52.0,0,5,5.0,5.0,4.0,3,7,4.1,10.0,0.0,0.0
7.99,90.0,0,5,5.0,4.0,2.0,2,7,3.7,26.0,0.0,0.0
5.65,40.0,0,5,2.0,2.0,11.0,2,7,4.0,10.0,0.0,0.0
7.5,40.0,0,5,3.0,4.0,5.0,3,7,4.0,10.0,0.0,0.0
5.89,52.0,0,5,2.0,2.0,2.0,2,2,4.0,13.0,0.0,0.0
4.79,48.0,0,5,2.0,3.0,2.0,2,2,3.7,13.0,0.0,0.0
6.85,48.0,0,5,4.0,5.0,4.0,3,7,4.0,12.0,0.0,0.0
8.9,83.0,0,5,2.0,2.0,2.0,0,6,5.7,19.2,0.0,0.0
1.85,10.6,0,5,2.0,1.0,2.0,2,7,4.0,12.0,0.0,0.0
2.2,15.0,0,5,2.0,1.0,2.0,2,2,4.0,12.0,0.0,0.0
6.86,36.0,0,5,3.0,3.0,4.0,4,6,3.6,10.0,0.0,0.0
5.1,47.0,0,5,2.0,2.0,2.0,2,6,3.5,13.0,0.0,0.0
2.45,21.0,0,5,1.0,2.0,2.0,2,7,4.0,12.0,0.0,0.0
2.4,12.0,0,5,2.0,3.0,3.0,2,2,4.0,12.0,0.0,0.0
4.36,64.0,0,5,3.0,3.0,3.0,1,1,6.0,14.0,0.0,0.0
6.95,60.0,0,1,7.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
7.15,30.5,0,5,3.0,2.0,3.0,1,2,4.0,12.0,0.0,0.0
12.6,60.0,0,5,6.0,6.0,3.0,3,7,4.0,15.0,0.0,0.0
5.35,40.0,0,5,2.0,2.0,2.0,1,7,3.5,12.0,0.0,0.0
6.0,35.0,0,5,3.0,4.0,4.0,4,7,3.5,10.0,0.0,0.0
9.99,99.0,0,5,3.0,2.0,2.0,1,7,4.3,22.0,0.0,0.0
8.2,72.0,0,5,4.0,2.0,2.0,1,6,4.0,18.0,0.0,0.0
4.2,54.0,0,1,3.0,2.0,2.0,1,6,4.0,13.5,0.0,0.0
4.7,22.0,0,5,3.0,3.0,3.0,1,6,2.7,9.2,0.0,0.0
5.98,30.9,0,1,3.0,3.0,2.0,1,2,3.7,8.35,0.0,0.0
5.9,53.0,0,5,3.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
10.88,68.0,0,5,5.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
13.8,72.0,0,5,10.0,3.0,6.0,1,7,4.0,12.0,0.0,0.0
7.2,53.0,0,5,4.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
5.9,53.0,0,5,4.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
14.5,68.0,0,5,5.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
9.899,60.0,0,5,6.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
5.39,58.0,0,5,4.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
7.45,75.0,0,5,3.0,3.0,3.0,1,6,4.0,12.0,0.0,0.0
6.0,35.0,0,5,3.0,3.0,3.0,1,2,4.6,12.0,0.0,0.0
12.5,117.0,0,5,3.0,3.0,2.0,3,2,5.6,21.0,0.0,0.0
2.57,12.5,0,5,2.0,1.0,2.0,3,2,4.0,12.0,0.0,0.0
7.8,60.0,0,1,5.0,5.0,5.0,1,7,5.0,12.0,0.0,0.0
9.2,86.0,0,5,4.0,3.0,3.0,1,6,4.2,20.0,0.0,0.0
9.89,90.0,0,5,5.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
6.48,59.0,0,5,3.0,2.0,2.0,4,6,3.4,17.0,0.0,0.0
8.7,86.7,0,5,4.0,4.0,2.0,1,2,5.3,16.0,0.0,0.0
4.98,32.0,0,5,2.0,2.0,2.0,1,2,4.0,8.0,0.0,0.0
7.75,52.0,0,5,4.0,4.0,4.0,2,2,4.0,13.0,0.0,0.0
6.05,26.71,0,5,3.0,4.0,4.0,4,6,3.7,7.3,0.0,0.0
18.5,40.3,3,5,3.0,3.0,3.0,2,2,3.3,12.2,0.0,0.0
4.85,25.0,0,5,2.0,2.0,2.0,4,7,5.0,5.0,0.0,0.0
2.58,15.0,0,1,1.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
3.98,32.0,0,5,2.0,3.0,3.0,1,2,5.0,7.0,0.0,0.0
3.9,22.0,0,5,2.0,3.0,3.0,1,6,26.0,8.0,0.0,0.0
5.95,36.0,0,5,3.0,2.0,2.0,1,2,9.0,4.0,0.0,0.0
7.95,40.0,0,5,4.0,5.0,3.0,4,7,4.0,10.0,0.0,0.0
16.8,43.0,3,5,4.0,3.0,5.0,3,2,6.46,6.65,0.0,0.0
4.68,35.0,0,5,3.0,2.0,2.0,3,7,4.0,12.0,0.0,0.0
2.4,13.0,0,5,2.0,3.0,3.0,3,2,4.0,12.0,0.0,0.0
6.95,33.0,0,5,3.0,3.0,3.0,4,7,4.6,7.0,0.0,0.0
3.2,37.0,0,1,3.0,3.0,3.0,1,7,3.8,10.0,0.0,0.0
4.95,25.0,0,5,2.0,2.0,3.0,0,2,3.7,7.0,0.0,0.0
13.5,150.0,0,1,8.0,3.0,2.0,1,7,5.85,28.0,0.0,0.0
3.65,22.0,0,5,3.0,3.0,3.0,2,2,4.0,12.0,0.0,0.0
14.8,80.0,0,5,10.0,6.0,3.0,1,1,5.0,16.0,0.0,0.0
5.95,58.0,0,1,3.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
9.5,40.0,0,1,4.0,3.0,3.0,1,7,4.0,10.0,0.0,0.0
2.45,18.0,0,5,2.0,3.0,2.0,1,2,2.6,8.2,0.0,0.0
7.5,42.0,0,5,5.0,5.0,3.0,1,2,6.8,6.0,0.0,0.0
13.57,72.0,0,5,10.0,6.0,6.0,3,7,3.2,22.0,0.0,0.0
11.5,80.0,0,5,3.0,5.0,4.0,1,7,5.0,16.0,0.0,0.0
15.5,156.0,3,5,4.0,3.0,3.0,1,5,4.0,12.0,0.0,0.0
9.9,90.0,0,5,6.0,4.0,3.0,3,2,5.0,10.0,0.0,0.0
2.4,12.0,0,5,2.0,3.0,3.0,3,2,3.0,4.0,0.0,0.0
5.45,60.0,0,5,3.0,2.0,2.0,3,2,4.0,15.0,0.0,0.0
26.0,190.0,4,5,4.0,4.0,2.0,3,7,10.0,19.0,0.0,0.0
19.5,110.0,0,5,8.0,6.0,3.0,3,7,4.0,12.0,0.0,0.0
7.89,54.0,0,5,2.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
6.86,36.0,0,5,5.0,3.0,4.0,4,2,3.6,10.0,0.0,0.0
8.9,70.0,0,5,7.0,6.0,3.0,1,6,3.5,20.0,0.0,0.0
13.5,94.0,0,5,3.0,3.0,1.0,3,7,5.6,19.0,0.0,0.0
3.2,40.0,0,5,3.0,3.0,2.0,2,6,4.0,10.0,0.0,0.0
8.5,45.0,0,5,4.0,5.0,5.0,0,7,4.0,10.0,0.0,0.0
14.5,70.0,0,5,4.0,4.0,4.0,3,7,4.2,17.0,0.0,0.0
3.98,24.0,0,5,2.0,3.0,3.0,3,6,4.0,6.0,0.0,0.0
5.98,40.0,0,5,3.0,3.0,3.0,4,2,4.7,8.5,0.0,0.0
3.69,22.7,0,5,2.0,2.0,3.0,3,2,4.0,12.0,0.0,0.0
14.5,98.0,3,5,5.0,6.0,5.0,3,7,7.0,14.0,0.0,0.0
2.4,12.0,0,5,2.0,3.0,3.0,2,2,4.0,12.0,0.0,0.0
6.0,56.0,0,5,2.0,2.0,1.0,0,2,4.2,14.0,0.0,0.0
6.0,55.7,0,5,2.0,2.0,1.0,3,6,3.8,13.54,0.0,0.0
7.15,30.5,0,5,3.0,4.0,4.0,4,7,6.5,12.0,0.0,0.0
5.99,58.0,0,5,2.0,3.0,1.0,2,6,4.2,14.0,0.0,0.0
6.95,64.0,0,5,2.0,2.0,2.0,2,7,5.0,13.0,0.0,0.0
6.39,46.0,0,5,2.0,2.0,2.0,2,6,4.1,11.0,0.0,0.0
5.89,72.0,0,5,2.0,1.0,2.0,2,6,7.2,10.0,0.0,0.0
3.05,17.0,0,5,1.0,2.0,2.0,1,2,3.5,5.0,0.0,0.0
5.0,33.0,3,1,3.0,3.0,3.0,1,7,4.0,12.0,0.0,0.0
6.86,36.0,0,1,5.0,3.0,3.0,1,2,3.6,10.0,0.0,0.0
6.95,33.0,0,1,3.0,3.0,3.0,1,2,4.0,12.0,0.0,0.0
1.75,10.0,3,1,2.0,1.0,3.0,1,2,3.5,3.0,0.0,0.0
15.9,80.0,3,5,4.0,4.0,2.0,4,6,9.6,9.0,0.0,0.0
7.89,45.0,0,5,2.0,2.0,2.0,0,7,4.2,13.0,0.0,0.0
8.79,45.0,0,5,8.0,6.0,5.0,3,7,7.0,7.0,0.0,0.0
5.99,56.0,0,1,2.0,3.0,3.0,1,5,4.2,15.0,0.0,0.0
12.6,60.0,0,5,10.0,6.0,5.0,3,7,4.2,15.0,0.0,0.0
3.98,20.0,0,1,2.0,3.0,3.0,1,2,4.0,5.0,0.0,0.0
5.49,44.0,0,1,2.0,3.0,3.0,1,7,3.6,12.0,0.0,0.0
5.999,55.7,0,5,2.0,2.0,1.0,3,6,3.8,13.54,0.0,0.0
5.19,42.0,0,5,2.0,2.0,2.0,2,2,3.6,12.0,0.0,0.0
6.69,52.0,0,5,4.0,5.0,3.0,2,2,3.6,15.0,0.0,0.0
7.85,45.9,0,5,3.0,3.0,3.0,4,6,4.0,12.0,0.0,0.0
